"","id","n_tx","med_sq_lngth","mad","seed","sq_df"
"1",1,57,1814,0.89748990696858,"119443965","and | Baker | BH | cds | chloroplast | complete | FTG | gene | intron | K | matK | maturase | partial | pseudogene | specimen | trnK | voucher"
"2",2,55,1385,0.758984414278532,"1035663471","Arecaceae | bisphosphate | carboxylase | carboxylaseoxygenase | cds | chloroplast | complete | for | gene | large | partial | plastid | product | rbcL | ribulose | ribulose15bisphosphate | RuBisCO | sp | subunit | voucher"
"3",11,50,868.5,0.880398110661269,"7362832","2 | chloroplast | exon | for | gene | intron | K | partial | protein | ribosomal | rps16 | S16 | specimen | voucher"
"4",0,47,826,0.803846729531507,"84874778","23 | and | cds | exon | gene | II | intron | K | largest | partial | polymerase | RNA | rpb2 | RPB2 | second | specimen | subunit | voucher"
"5",7,44,2089.5,0.778110550651534,"1063823084","Bank | cds | chloroplast | dehydrogenase | DNA | F | for | FTG | gene | NADH | ndhF | partial | plastid | product | subunit | voucher"
"6",3,42,658,0.576142713603272,"655437355","2 | 4 | 45 | 5 | and | cds | exons | for | FTG | gene | K | partial | phosphoribulokinase | phosphoribulokinaselike | prk | PRK | protein | sequence | specimen | voucher"
"7",21,38,1516.5,0.9875,"1063820882","ATP | atpB | beta | cds | chloroplast | complete | for | gene | partial | product | subunit | synthase"
"8",15,35,1095,0.921150014232849,"15430343","and | cds | chloroplast | complete | gene | intergenic | partial | protein | ribosomal | S16 | sequence | spacer | trnQrps16 | voucher"
"9",23,32,1737,0.966659803013144,"1229733804","18S | gene | partial | ribosomal | RNA | sequence | small | subunit"
"10",6,27,802.5,0.853032131543219,"354696584","Bank | CISP4 | Collection | DNA | FTG | gene | kinase | kinaselike | Live | partial | protein | RLCKVII | sequence | serinethreonine | UNVERIFIED | voucher"
"11",5,26,693,0.736929236929237,"667479565","and | cds | chloroplast | complete | D1 | gene | II | intergenic | isolate | partial | photosystem | plastid | protein | psbA | PsbA | psbAtrnH | rps19 | sequence | spacer | STRIBCI | tRNAHis | trnH | var | voucher"
"12",25,22,805.5,0.874861572535991,"219968503","and | ATP | atpB | atpBrbcL | Baker | beta | cds | CF1 | chain | chloroplast | Cult | FTG | gene | intergenic | K | partial | sequence | spacer | specimen | synthase | voucher"
"13",13,18,1182,0.777883733724555,"731772250","44 | AAU | and | Astrocaryum | bataua | BH | cds | chloroplast | complete | fruticans | FTG | gene | Hahn | II | intergenic | K | kDa | Nypa | partial | photosystem | plastid | protein | psbC | psbCtrnS | psbZ | PsbZ | psbZtrnG | sequence | spacer | tRNAGly | tRNASer | trnG | trnGtrnfM | trnS | trnSpsbZ | voucher | Zona"
"14",29,16,1020.5,0.501615136132903,"37721434","A | and | apoprotein | cds | chlorophyll | chloroplast | CP47 | DNA | for | gene | genes | II | intergenic | p680 | partial | photosystem | plastid | protein | psbB | psbBpsbF | region | spacer | subunit | voucher"
"15",44,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"16",45,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"17",46,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"18",47,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"19",48,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"20",49,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"21",50,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
"22",51,16,1823.5,0.989137791012453,"353531054","and | Baker | Barrow | chloroplast | Corypha | FTG | gene | intron | K | matK | partial | Phoenix | pseudogene | Sabal | specimen | trnK | voucher"
